cid,years,director,category,number,name,awards,awards1,awards2,awards3,awards4,awards5,awards6,,,
C,2001,林正盛,劇情片,0,愛你愛我,第五十一屆德國柏林影展 最佳導演獎、最佳新人獎,,,,,,,,,
C,2000,楊德昌,劇情片,0,一一,第十五屆瑞士佛瑞堡影展 評審團大獎,2000坎城國際影展 最佳導演獎,,,,,,,,
C,2000,章蕙蘭,劇情片,0,小百無禁忌,第十五屆瑞士佛瑞堡影展 新銳導演獎、最佳編劇,2000年亞太影展 評審團特別獎,,,,,,,,
C,2001,陳芯宜,劇情片,0,我叫阿銘啦,第十五屆瑞士佛瑞堡影展 人權獎、教會評審團獎,,,,,,,,,
C,2000,李安,劇情片,200000000,臥虎藏龍,第七十三屆奧斯卡影展　最佳外語片、最佳藝術指導、最佳攝影、最佳配樂,,,,,,,,,
C,2000,蕭雅全,劇情片,0,命帶追逐,第二十屆溫哥華影展 龍虎榜最佳青年影片獎,,,,,,,,,
C,2000,張志勇,劇情片,0,沙河悲歌,亞太影展 最佳導演、最佳原創音樂獎,,,,,,,,,
C,1999,張作驥,劇情片,0,黑暗之光,新加坡影展 最佳影片、評審團特別獎,,,,,,,,,
C,2008,魏德聖,劇情片,530000000,海角七號,日本第四屆亞洲海洋電影節 首獎,馬來西亞第二屆吉隆坡國際電影節 最佳攝影,美國路易威登夏威夷影展 金蘭花獎 劇情片類首獎,法國2009費索爾亞洲國際影展 當代亞洲電影風貌的競賽片,,,,,,
K,2013,邱瓈寬,喜劇片,428000000,大尾鱸鰻,,,,,,,,,,
K,2015,陳玉珊,愛情片,410000000,我的少女時代,,,,,,,,,,
K,2012,馮凱,劇情片,317000000,陣頭,,,,,,,,,,
K,2013,陳玉勳,喜劇片,310000000,總舖師,,,,,,,,,,
K,2014,江金霖,劇情片,260000000,等一個人咖啡,,,,,,,,,,
K,2015,黃朝亮,劇情片,250000000,大囍臨門,,,,,,,,,,
K,2014,葉天倫,劇情片,210000000,大稻埕,,,,,,,,,,
K,2016,邱瓈寬,喜劇片,170000000,大尾鱸鰻2,,,,,,,,,,
K,2012,鈕承澤,愛情片,170000000,愛,,,,,,,,,,
K,2012,王珮華、王仁里,愛情片,150000000,犀利人妻最終回：幸福男·不難,,,,,,,,,,
K,2016,崔震東,劇情片,130000000,樓下的房客,,,,,,,,,,
K,2012,蔡岳勳,動作片,120000000,痞子英雄首部曲:全面開戰,,,,,,,,,,
